%Time(s);X-Position (X[2]);Y-Position (X[1]);Input U
3.30000000e+00;4.84173983e-03;-3.55503424e-02;9.55013375e-01
3.31000000e+00;4.48533315e-03;-3.59376260e-02;9.55241027e-01
3.32000000e+00;4.12506051e-03;-3.63251121e-02;9.55467567e-01
3.33000000e+00;3.76092005e-03;-3.67127652e-02;9.55693003e-01
3.34000000e+00;3.39291025e-03;-3.71005495e-02;9.55917340e-01
3.35000000e+00;3.02102995e-03;-3.74884286e-02;9.56140587e-01
3.36000000e+00;2.64527835e-03;-3.78763660e-02;9.56362748e-01
3.37000000e+00;2.26565503e-03;-3.82643247e-02;9.56583832e-01
3.38000000e+00;1.88215993e-03;-3.86522672e-02;9.56803844e-01
3.39000000e+00;1.49479337e-03;-3.90401559e-02;9.57022792e-01
3.40000000e+00;1.10355604e-03;-3.94279527e-02;9.57240681e-01
3.41000000e+00;7.08449028e-04;-3.98156190e-02;9.57457519e-01
3.42000000e+00;3.09473793e-04;-4.02031159e-02;9.57673311e-01
3.43000000e+00;-9.33678126e-05;-4.05904043e-02;9.57888064e-01
3.44000000e+00;-5.00073541e-04;-4.09774446e-02;9.58101784e-01
3.45000000e+00;-9.10640751e-04;-4.13641967e-02;9.58314477e-01
3.46000000e+00;-1.32506640e-03;-4.17506202e-02;9.58526150e-01
3.47000000e+00;-1.74334703e-03;-4.21366746e-02;9.58736808e-01
3.48000000e+00;-2.16547880e-03;-4.25223185e-02;9.58946458e-01
3.49000000e+00;-2.59145743e-03;-4.29075106e-02;9.59155106e-01
3.50000000e+00;-3.02127824e-03;-4.32922090e-02;9.59362757e-01
3.51000000e+00;-3.45493612e-03;-4.36763715e-02;9.59569417e-01
3.52000000e+00;-3.89242556e-03;-4.40599554e-02;9.59775093e-01
3.53000000e+00;-4.33374060e-03;-4.44429178e-02;9.59979790e-01
3.54000000e+00;-4.77887485e-03;-4.48252153e-02;9.60183514e-01
3.55000000e+00;-5.22782150e-03;-4.52068042e-02;9.60386270e-01
3.56000000e+00;-5.68057328e-03;-4.55876403e-02;9.60588064e-01
3.57000000e+00;-6.13712252e-03;-4.59676793e-02;9.60788903e-01
3.58000000e+00;-6.59746105e-03;-4.63468763e-02;9.60988790e-01
3.59000000e+00;-7.06158030e-03;-4.67251860e-02;9.61187733e-01
3.60000000e+00;-7.52947121e-03;-4.71025629e-02;9.61385735e-01
3.61000000e+00;-8.00112428e-03;-4.74789610e-02;9.61582804e-01
